"temperature","humidity","soil_moisture_level","mustasa_classification","petchay_classification","kangkong_classification","pump_irrigation_mustasa","pump_irrigation_pechay","pump_irrigation_kangkong"
30.1,84.9,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
31.5,79.2,85,"GOOD","BAD","BAD","OFF","OFF","OFF"
32,76,80,"GOOD","GOOD","BAD","OFF","OFF","OFF"
32.2,76.6,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.2,74.5,81,"GOOD","BAD","BAD","OFF","OFF","OFF"
32.1,73.9,81,"GOOD","BAD","BAD","OFF","OFF","OFF"
32,74.9,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
36.3,55.9,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.3,56.3,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.2,57.9,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.1,55.6,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.9,56.5,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.9,64,76,"BAD","BAD","GOOD","OFF","OFF","OFF"
32.5,69.1,83,"BAD","BAD","GOOD","OFF","OFF","OFF"
30.8,70.2,75,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30.8,68.1,74,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30.6,71.2,75,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30.9,68.3,79,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30.8,69.3,73,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.4,63.2,82,"BAD","BAD","GOOD","OFF","OFF","OFF"
38.9,43.6,94,"BAD","BAD","BAD","OFF","OFF","OFF"
30.6,77.9,30,"GOOD","GOOD","GOOD","ON","ON","ON"
31.1,80.6,31,"GOOD","BAD","BAD","ON","ON","ON"
31.4,59.8,80,"GOOD","BAD","GOOD","OFF","OFF","OFF"
30.5,61.2,79,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32,76.6,78,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.4,63.2,81,"BAD","BAD","GOOD","OFF","OFF","OFF"
32.2,83,32,"BAD","BAD","BAD","ON","ON","ON"
30.5,76.8,33,"GOOD","GOOD","BAD","ON","ON","ON"
30.6,76.7,34,"GOOD","GOOD","BAD","ON","ON","ON"
30,78.9,35,"GOOD","GOOD","BAD","ON","ON","ON"
32.1,77.3,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
34.9,43.6,83,"BAD","BAD","BAD","OFF","OFF","OFF"
32.1,75.1,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.2,75.6,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.4,71.9,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30,81.3,38,"BAD","BAD","BAD","ON","ON","ON"
30.1,81.2,36,"BAD","BAD","BAD","ON","ON","ON"
29.9,82.4,37,"BAD","BAD","BAD","ON","ON","ON"
32.3,73.7,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.2,74.1,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
